above_majority_sign_agrees,bf16_above_majority,bf16_accuracy,bf16_macro_f1,location,model_id,q8_above_majority,q8_accuracy,q8_macro_f1,q8_model_revision,split,status,task
True,0.17872340425531918,0.9893617021276596,0.9880145775587722,target_final_subtoken,llama-3.1-8b,0.1402763018065888,0.9798087141339001,0.9387960471335207,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.24654622741764076,0.8097768331562167,0.8191673380435454,prompt_final,llama-3.1-8b,0.2678002125398512,0.8310308182784272,0.8251114212652674,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.28161530286928804,0.844845908607864,0.8460751226314752,target_final_subtoken,llama-3.1-8b,0.28905419766206164,0.8522848034006376,0.8559579869374971,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.2734042553191489,0.875531914893617,0.8735732735877578,prompt_final,llama-3.1-8b,0.30393198724760895,0.9234856535600425,0.9195947934566928,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.31382978723404253,0.9159574468085107,0.9124167481444876,target_final_subtoken,llama-3.1-8b,0.2911795961742827,0.9107332624867163,0.906193925699475,Q8_0-artifact,root-heldout,metric_comparison_only,gender
False,-0.015957446808510634,0.847872340425532,0.7155555491816824,prompt_final,llama-3.1-8b,0.029755579171094504,0.9054197662061636,0.7880634031796823,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.12446808510638296,0.9882978723404255,0.960510848112794,target_final_subtoken,llama-3.1-8b,0.10839532412327313,0.9840595111583422,0.9099751816100542,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.13708820403825717,0.8257173219978746,0.79367244542575,prompt_final,llama-3.2-1b,0.06588735387885225,0.7545164718384697,0.732527509766758,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.03719447396386821,0.7258235919234857,0.6629050959901265,target_final_subtoken,llama-3.2-1b,0.015940488841657774,0.7045696068012752,0.6313033727710703,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.27553191489361695,0.9297872340425531,0.9215858763574591,prompt_final,llama-3.2-1b,0.2518597236981934,0.8841657810839533,0.8779720583388952,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.0340425531914893,0.6882978723404255,0.6595848819201282,target_final_subtoken,llama-3.2-1b,0.13390010626992555,0.7662061636556854,0.7514885239604341,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.07978723404255317,0.8904255319148936,0.8473193161453786,prompt_final,llama-3.2-1b,0.0680127523910733,0.9075451647183846,0.78198180684147,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
False,0.04042553191489362,0.851063829787234,0.5732820107762536,target_final_subtoken,llama-3.2-1b,-0.09883103081827838,0.740701381509033,0.531814194314704,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.1923485653560043,0.7555791710945803,0.7557795345170398,prompt_final,llama-3.2-1b,0.20616365568544104,0.769394261424017,0.7720526031151059,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.150903294367694,0.71413390010627,0.6900756238597868,target_final_subtoken,llama-3.2-1b,0.11052072263549417,0.6737513283740701,0.6688089482868684,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.27553191489361695,0.8776595744680851,0.8738668729602547,prompt_final,llama-3.2-1b,0.19128586609989373,0.8108395324123273,0.793455099685308,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.11382978723404247,0.7159574468085106,0.7097930115826098,target_final_subtoken,llama-3.2-1b,0.13071200850159403,0.7502656748140276,0.7292789136633135,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.025531914893616947,0.8893617021276595,0.779456663360753,prompt_final,llama-3.2-1b,0.029755579171094504,0.9054197662061636,0.5373591759130508,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,-0.043617021276595724,0.8202127659574469,0.6280467040426789,target_final_subtoken,llama-3.2-1b,-0.061636556854410274,0.8140276301806588,0.4899058265401662,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.16790648246546225,0.8565356004250797,0.8363721512445347,prompt_final,llama-3.2-3b,0.18703506907545164,0.8756641870350691,0.8426971815654536,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.09883103081827838,0.7874601487778958,0.7447017213338595,target_final_subtoken,llama-3.2-3b,0.06482465462274178,0.7534537725823592,0.7220438938672039,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.2563829787234042,0.9106382978723404,0.8990895567403985,prompt_final,llama-3.2-3b,0.27417640807651433,0.9064824654622742,0.8995623865940869,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.1436170212765957,0.7978723404255319,0.7805638011362519,target_final_subtoken,llama-3.2-3b,0.19341126461211477,0.8257173219978746,0.8163054449882873,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.14574468085106385,0.9563829787234043,0.951193742133856,prompt_final,llama-3.2-3b,0.10733262486716266,0.946865037194474,0.9113498882741758,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.08404255319148934,0.8946808510638298,0.7276416501856285,target_final_subtoken,llama-3.2-3b,0.09032943676939431,0.9298618490967057,0.8575618972555169,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.259298618490967,0.822529224229543,0.842624619951518,prompt_final,llama-3.2-3b,0.15621679064824656,0.7194473963868225,0.7180289457015606,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.24760892667375134,0.8108395324123273,0.8001449551410212,target_final_subtoken,llama-3.2-3b,0.26567481402763016,0.8289054197662061,0.8267994129306562,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.2946808510638298,0.8968085106382979,0.8887493884144653,prompt_final,llama-3.2-3b,0.1849096705632306,0.8044633368756642,0.8035258767032508,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.23085106382978715,0.8329787234042553,0.828674052326506,target_final_subtoken,llama-3.2-3b,0.22848034006376194,0.8480340063761955,0.8422623408562611,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.009574468085106314,0.8734042553191489,0.7450379327537912,prompt_final,llama-3.2-3b,0.004250797024442088,0.8799149840595112,0.6710268757498029,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.07340425531914896,0.9372340425531915,0.8886453131977429,target_final_subtoken,llama-3.2-3b,0.0903294367693942,0.9659936238044633,0.843192520994036,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.18384697130712002,0.8724760892667375,0.8395847285426455,prompt_final,mistral-7b,0.1700318809776833,0.8586609989373007,0.8329606871397871,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,lemma-heldout,metric_comparison_only,pos
True,0.13815090329436763,0.8267800212539851,0.7902881308434253,target_final_subtoken,mistral-7b,0.13496280552603612,0.8235919234856536,0.7832410592064551,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,lemma-heldout,metric_comparison_only,pos
True,0.325531914893617,0.9797872340425532,0.9776772043760679,prompt_final,mistral-7b,0.3390010626992561,0.971307120085016,0.9690522738484588,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,lemma-heldout,metric_comparison_only,gender
True,0.2595744680851063,0.9138297872340425,0.9069846990196377,target_final_subtoken,mistral-7b,0.22529224229543032,0.8575982996811902,0.8502090757899738,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,lemma-heldout,metric_comparison_only,gender
True,0.16170212765957448,0.9723404255319149,0.9689795334411463,prompt_final,mistral-7b,0.14984059511158343,0.9893730074388948,0.9859882005899706,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,lemma-heldout,metric_comparison_only,number
True,0.12021276595744679,0.9308510638297872,0.8898296158274585,target_final_subtoken,mistral-7b,0.12327311370882044,0.9628055260361318,0.786884246333558,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,lemma-heldout,metric_comparison_only,number
True,0.20085015940488837,0.7640807651434643,0.7879756068540064,prompt_final,mistral-7b,0.24442082890541983,0.8076514346439958,0.8083319878538107,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,root-heldout,metric_comparison_only,pos
True,0.2646121147715197,0.8278427205100957,0.8209305237523316,target_final_subtoken,mistral-7b,0.25398512221041447,0.8172157279489904,0.813058618523351,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,root-heldout,metric_comparison_only,pos
True,0.3244680851063829,0.926595744680851,0.9227782679044051,prompt_final,mistral-7b,0.34431455897980867,0.9638682252922423,0.9617183087805952,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,root-heldout,metric_comparison_only,gender
True,0.29574468085106376,0.8978723404255319,0.8945848577876838,target_final_subtoken,mistral-7b,0.279489904357067,0.8990435706695006,0.8940648089445586,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,root-heldout,metric_comparison_only,gender
True,0.09999999999999998,0.9638297872340426,0.8252403217720947,prompt_final,mistral-7b,0.07651434643995747,0.9521785334750266,0.694804863841561,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,root-heldout,metric_comparison_only,number
True,0.09787234042553183,0.9617021276595744,0.8908934790633477,target_final_subtoken,mistral-7b,0.08926673751328373,0.9649309245483528,0.8368872402519583,bartowski/Mistral-7B-Instruct-v0.3-GGUF@61fd4167fff3ab01ee1cfe0da183fa27a944db48,root-heldout,metric_comparison_only,number
True,0.15196599362380447,0.8405951115834219,0.8175747743870309,prompt_final,phi-3-mini,0.14240170031880972,0.8310308182784272,0.8111671732157232,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,lemma-heldout,metric_comparison_only,pos
