model_id,feature_set,task,split,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,majority_accuracy_mean,above_majority_mean,selected_layer_mean,selected_layers
allam-7b,metadata_free_prompt_final,pos,random,5,0.9500128880548081,0.00725889751093096,0.9417500702044382,0.008310765206106501,0.6290150812851878,0.32099780676962036,19.2,"7,16,23,24,26"
allam-7b,metadata_free_prompt_final,pos,root-heldout,5,0.8532213353833631,0.015192286897045678,0.8217487909992691,0.0293617000703827,0.6290290998711194,0.2241922355122436,20.2,"14,17,22,24,24"
allam-7b,target_final_subtoken,gender,lemma-heldout,5,0.9257258740624928,0.012177387752832426,0.9201079882864238,0.011306524005142536,0.6260711938911925,0.29965468017130037,12.0,"4,6,14,17,19"
allam-7b,target_final_subtoken,gender,random,5,0.9761647746584188,0.00633460949427228,0.9746055104911011,0.0066851948624619875,0.6260906804432057,0.350074094215213,16.4,"4,7,14,26,31"
allam-7b,target_final_subtoken,gender,root-heldout,5,0.9148800217524302,0.02427512888232643,0.9080427226864813,0.026887982972311205,0.6260895475041353,0.2887904742482949,17.8,"4,15,22,22,26"
allam-7b,target_final_subtoken,number,lemma-heldout,5,0.9865930256270816,0.0051501843746045274,0.9164594539316226,0.06287036677203306,0.8414610382253642,0.14513198740171754,15.2,"5,7,15,24,25"
allam-7b,target_final_subtoken,number,random,5,0.9936163415131535,0.0017789091090052941,0.963355971823518,0.02332214746629235,0.8414556001178257,0.15216074139532781,12.4,"5,12,13,14,18"
allam-7b,target_final_subtoken,number,root-heldout,5,0.9872326830263068,0.007087427824709172,0.9268869475667942,0.06342525057067588,0.8414483493077742,0.14578433371853255,17.2,"7,11,15,26,27"
allam-7b,target_final_subtoken,pos,lemma-heldout,5,0.911505867456531,0.019618286906434766,0.8984907861932985,0.01810596290501381,0.6290024193366043,0.2825034481199268,5.2,"2,6,6,6,6"
allam-7b,target_final_subtoken,pos,random,5,0.9672412779523819,0.00400088576215984,0.9620945582289233,0.004756257848803037,0.6290150812851877,0.3382261966671942,9.8,"7,8,9,9,16"
allam-7b,target_final_subtoken,pos,root-heldout,5,0.8927908291315261,0.020588116381272982,0.8695542102971958,0.03920873035780028,0.6290290998711195,0.26376172926040653,15.4,"9,9,17,20,22"
allam-7b,target_mean_span,gender,lemma-heldout,5,0.917002696394988,0.014388900300791539,0.9101756055506731,0.016047845328421153,0.6260711938911926,0.29093150250379535,21.6,"6,20,23,29,30"
