model_id,feature_set,task,split,fold,real_accuracy,shuffled_accuracy,shuffled_macro_f1,shuffled_majority_accuracy,shuffled_selected_layer
llama-3.2-1b,full_prompt_final,number,random,3,0.9765957446808511,0.7531914893617021,0.32135091675852795,0.8414893617021276,0
llama-3.2-1b,full_prompt_final,number,random,4,0.9765708200212992,0.7582534611288605,0.32019789077558825,0.8413205537806177,0
llama-3.2-1b,full_prompt_final,number,root-heldout,0,0.8893617021276595,0.5446808510638298,0.2903353057199211,0.8638297872340426,0
llama-3.2-1b,full_prompt_final,number,root-heldout,1,0.8914893617021277,0.7308510638297873,0.3255137134678535,0.8872340425531915,9
llama-3.2-1b,full_prompt_final,number,root-heldout,2,0.8925531914893617,0.6691489361702128,0.3425208598358136,0.824468085106383,10
llama-3.2-1b,full_prompt_final,number,root-heldout,3,0.8382978723404255,0.6553191489361702,0.34038673959622573,0.824468085106383,12
llama-3.2-1b,full_prompt_final,number,root-heldout,4,0.8945686900958466,0.630457933972311,0.33001684122455754,0.8072417465388712,3
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,0,0.8257173219978746,0.4622741764080765,0.3408074217058539,0.6886291179596175,6
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,1,0.8329787234042553,0.41914893617021276,0.32245854293110227,0.5989361702127659,6
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,2,0.8531914893617021,0.41382978723404257,0.3241545380205249,0.6382978723404256,11
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,3,0.85,0.4074468085106383,0.3103768860834271,0.6351063829787233,7
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,4,0.7723404255319148,0.4297872340425532,0.35699569502130163,0.5840425531914893,10
llama-3.2-1b,full_prompt_final,pos,random,0,0.9479277364505845,0.5037194473963869,0.3281433823728366,0.6291179596174282,0
llama-3.2-1b,full_prompt_final,pos,random,1,0.9382978723404255,0.498936170212766,0.3360488941410699,0.6297872340425532,1
llama-3.2-1b,full_prompt_final,pos,random,2,0.9457446808510638,0.49361702127659574,0.3046969222475329,0.6287234042553191,0
llama-3.2-1b,full_prompt_final,pos,random,3,0.9638297872340426,0.46595744680851064,0.32058786857612076,0.6287234042553191,13
llama-3.2-1b,full_prompt_final,pos,random,4,0.95,0.4957446808510638,0.3086303834430322,0.6287234042553191,0
llama-3.2-1b,full_prompt_final,pos,root-heldout,0,0.7555791710945803,0.45589798087141337,0.32233228462552826,0.563230605738576,0
llama-3.2-1b,full_prompt_final,pos,root-heldout,1,0.8063829787234043,0.4127659574468085,0.31090764181903424,0.6574468085106383,1
llama-3.2-1b,full_prompt_final,pos,root-heldout,2,0.8819148936170212,0.44893617021276594,0.3475453890775599,0.6170212765957447,13
llama-3.2-1b,full_prompt_final,pos,root-heldout,3,0.8531914893617021,0.48936170212765956,0.3226426029043686,0.6712765957446809,0
llama-3.2-1b,full_prompt_final,pos,root-heldout,4,0.8340425531914893,0.42659574468085104,0.3290346661375404,0.6361702127659574,13
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,0,0.8127659574468085,0.5340425531914894,0.5128634711494775,0.6542553191489362,4
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,1,0.7457446808510638,0.5606382978723404,0.5263247156203521,0.6808510638297872,15
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,2,0.8287234042553191,0.5223404255319148,0.5110241429367515,0.6425531914893617,7
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,3,0.7946808510638298,0.502127659574468,0.49415644446897466,0.6180851063829788,9
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,4,0.8296059637912673,0.5015974440894568,0.49622153541393443,0.5346112886048988,11
llama-3.2-1b,metadata_free_prompt_final,gender,random,0,0.9382978723404255,0.5414893617021277,0.4992528467835332,0.625531914893617,5
llama-3.2-1b,metadata_free_prompt_final,gender,random,1,0.9234042553191489,0.5457446808510639,0.5120539855164961,0.625531914893617,7
llama-3.2-1b,metadata_free_prompt_final,gender,random,2,0.9223404255319149,0.5340425531914894,0.48723696795791493,0.6265957446808511,14
llama-3.2-1b,metadata_free_prompt_final,gender,random,3,0.9191489361702128,0.5446808510638298,0.5024019076737364,0.6265957446808511,12
llama-3.2-1b,metadata_free_prompt_final,gender,random,4,0.919062832800852,0.5676251331203408,0.522382861438236,0.6261980830670927,3
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,0,0.7404255319148936,0.48829787234042554,0.47784472076229545,0.6021276595744681,14
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,1,0.8170212765957446,0.5457446808510639,0.5206687565308254,0.6468085106382979,9
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,2,0.7127659574468085,0.48617021276595745,0.4732891642720167,0.5468085106382978,13
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,3,0.7755319148936171,0.5372340425531915,0.4795266480065069,0.7138297872340426,13
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,4,0.751863684771033,0.4984025559105431,0.4826204193840845,0.6208732694355698,8
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,0,0.7978723404255319,0.7127659574468085,0.3217423274894539,0.8106382978723404,0
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,1,0.8595744680851064,0.7180851063829787,0.34035299491060944,0.8436170212765958,0
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,2,0.8829787234042553,0.7138297872340426,0.3399456630308842,0.8287234042553191,0
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,3,0.9404255319148936,0.7212765957446808,0.3465639678546782,0.8574468085106383,0
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,4,0.8828541001064962,0.6837060702875399,0.3202439266415884,0.8668796592119276,0
llama-3.2-1b,metadata_free_prompt_final,number,random,0,0.9638297872340426,0.7468085106382979,0.33483678497492936,0.8414893617021276,10
llama-3.2-1b,metadata_free_prompt_final,number,random,1,0.95,0.7617021276595745,0.34024956280488605,0.8414893617021276,0
llama-3.2-1b,metadata_free_prompt_final,number,random,2,0.9670212765957447,0.7627659574468085,0.32983968495147137,0.8414893617021276,0
llama-3.2-1b,metadata_free_prompt_final,number,random,3,0.9712765957446808,0.7382978723404255,0.34514692583307577,0.8414893617021276,5
llama-3.2-1b,metadata_free_prompt_final,number,random,4,0.9648562300319489,0.7507987220447284,0.3103318499682136,0.8413205537806177,10
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,0,0.8521276595744681,0.7180851063829787,0.34414917453531674,0.8638297872340426,0
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,1,0.9425531914893617,0.6148936170212767,0.3023485920514255,0.8872340425531915,10
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,2,0.8606382978723405,0.7287234042553191,0.32360245332426313,0.824468085106383,0
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,3,0.902127659574468,0.6914893617021277,0.3364522417153996,0.824468085106383,1
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,4,0.8445154419595314,0.6485623003194888,0.3370770278345215,0.8072417465388712,2
