model_id,task,feature_set,random_minus_lemma_macro_f1,random_minus_root_macro_f1
phi-3-mini,number,full_prompt_final,0.07085054724067774,0.07308771261101432
phi-3-mini,pos,full_prompt_final,0.1178632355852739,0.1679266420366622
phi-3-mini,gender,metadata_free_prompt_final,0.05243261737768723,0.0730154933404582
phi-3-mini,number,metadata_free_prompt_final,0.07518841731176107,0.16027291631687024
phi-3-mini,pos,metadata_free_prompt_final,0.13829928428012828,0.18385820177871193
phi-3-mini,gender,target_final_subtoken,0.07004460815916069,0.06474472561922584
phi-3-mini,number,target_final_subtoken,0.10536962118735482,0.13989525436485906
phi-3-mini,pos,target_final_subtoken,0.1738764806857822,0.19087148706251966
phi-3-mini,gender,target_mean_span,0.0322322029027976,0.044343865166389995
phi-3-mini,number,target_mean_span,0.16182410615041543,0.19330623223503118
phi-3-mini,pos,target_mean_span,0.2094166036626165,0.23523932192271602
qwen2.5-1.5b,gender,full_prompt_final,0.03838072521907321,0.0411262837884957
qwen2.5-1.5b,number,full_prompt_final,0.1126447080359112,0.05619510348364665
qwen2.5-1.5b,pos,full_prompt_final,0.07939335379724444,0.11891593775632514
qwen2.5-1.5b,gender,metadata_free_prompt_final,0.1358078744185519,0.1782519140346297
qwen2.5-1.5b,number,metadata_free_prompt_final,0.07660061572857946,0.07865149237450364
qwen2.5-1.5b,pos,metadata_free_prompt_final,0.12971088974842837,0.1316406182780463
qwen2.5-1.5b,gender,target_final_subtoken,0.12413981007253039,0.15205471717146624
qwen2.5-1.5b,number,target_final_subtoken,0.07916379691077213,0.06224563340443434
qwen2.5-1.5b,pos,target_final_subtoken,0.1739544109658021,0.17016143291371832
qwen2.5-1.5b,gender,target_mean_span,0.13986221246295671,0.16449911520728344
qwen2.5-1.5b,number,target_mean_span,0.0980708697455851,0.08345407407497996
qwen2.5-1.5b,pos,target_mean_span,0.17315742253925825,0.1883326331543831
qwen3-0.6b,gender,full_prompt_final,0.04464248203526677,0.07952434490415028
qwen3-0.6b,number,full_prompt_final,0.11098017314763697,0.09118665501300482
qwen3-0.6b,pos,full_prompt_final,0.09318336699843999,0.12023148130818839
qwen3-0.6b,gender,metadata_free_prompt_final,0.11696107730307226,0.1329143013090066
qwen3-0.6b,number,metadata_free_prompt_final,0.07336248205409168,0.0773884435752108
qwen3-0.6b,pos,metadata_free_prompt_final,0.13428310171317637,0.10633319376890848
qwen3-0.6b,gender,target_final_subtoken,0.1203462379699014,0.11868729945748369
qwen3-0.6b,number,target_final_subtoken,0.06735650987480435,0.060818701757749394
qwen3-0.6b,pos,target_final_subtoken,0.11123444130379223,0.14673456757517322
qwen3-0.6b,gender,target_mean_span,0.11482239504592129,0.127936898889061
qwen3-0.6b,number,target_mean_span,0.06572204446767116,0.13065902808074714
qwen3-0.6b,pos,target_mean_span,0.11923429723413415,0.14908512914355188
qwen3-8b,gender,full_prompt_final,0.04189849233613907,0.0671133930804324
qwen3-8b,number,full_prompt_final,0.08019780835829948,0.026046073184224916
qwen3-8b,pos,full_prompt_final,0.09324281411817259,0.12507307470412632
qwen3-8b,gender,metadata_free_prompt_final,0.09458721411997284,0.10055675321291735
qwen3-8b,number,metadata_free_prompt_final,0.09185268600332341,0.05864141223433139
qwen3-8b,pos,metadata_free_prompt_final,0.09459204357082085,0.10930317405553891
qwen3-8b,gender,target_final_subtoken,0.059996881948762404,0.059928469894426906
qwen3-8b,number,target_final_subtoken,0.018605816802897968,0.025485395363904595
qwen3-8b,pos,target_final_subtoken,0.09930508665028792,0.10672866689458871
qwen3-8b,gender,target_mean_span,0.07940621865132635,0.05150390122698878
qwen3-8b,number,target_mean_span,0.06305298499683865,0.06718436471368816
qwen3-8b,pos,target_mean_span,0.12229362914261821,0.10280515698529025
